"survey_id","STR","RES","ASC","package","sos","info","own"
1001,1001,1,1,3,1,1,1
1001,1001,0,1,19,2,2,4
1006,2001,0,1,1,1,1,2
1006,2001,1,1,17,2,1,3
1008,3001,1,1,11,2,1,4
1008,3001,0,1,27,1,2,4
1011,4001,1,1,4,2,2,4
1011,4001,0,1,20,1,2,1
2001,5001,0,1,10,1,2,2
2001,5001,1,1,26,2,2,2
2002,6001,1,1,7,2,2,1
2002,6001,0,1,23,1,1,3
2003,7001,0,1,8,1,1,4
2003,7001,1,1,24,1,1,1
2004,8001,1,1,9,2,2,3
2004,8001,0,1,25,1,2,3
3002,9001,1,1,5,1,2,4
3002,9001,0,1,21,2,1,4
3003,10001,1,1,10,1,2,2
3003,10001,0,1,26,2,2,2
3004,11001,0,1,7,2,2,1
3004,11001,1,1,23,1,1,3
3006,12001,0,1,11,2,1,4
3006,12001,1,1,27,1,2,4
3014,13001,0,1,14,2,2,2
3014,13001,1,1,30,2,1,1
3021,14001,0,1,13,2,1,2
3021,14001,1,1,29,2,2,3
3024,15001,1,1,12,2,1,1
3024,15001,0,1,28,1,1,2
3025,16001,1,1,15,1,2,1
3025,16001,0,1,31,1,2,2
3028,17001,1,1,12,2,1,1
3028,17001,0,1,28,1,1,2
3034,18001,1,1,2,2,1,3
3034,18001,0,1,18,1,1,4
3035,19001,0,1,3,1,1,1
3035,19001,1,1,19,2,2,4
3038,20001,0,1,6,1,2,3
3038,20001,1,1,22,2,2,1
3039,21001,1,1,7,2,2,1
3039,21001,0,1,23,1,1,3
3040,22001,0,1,8,1,1,4
3040,22001,1,1,24,1,1,1
3046,23001,0,1,14,2,2,2
3046,23001,1,1,30,2,1,1
3047,24001,0,1,4,2,2,4
3047,24001,1,1,20,1,2,1
3051,25001,1,1,4,2,2,4
3051,25001,0,1,20,1,2,1
3055,26001,0,1,5,1,2,4
3055,26001,1,1,21,2,1,4
3059,27001,0,1,12,2,1,1
3059,27001,1,1,28,1,1,2
4001,28001,0,1,1,1,1,2
4001,28001,1,1,17,2,1,3
4018,29001,1,1,2,2,1,3
4018,29001,0,1,18,1,1,4
5016,30001,1,1,3,1,1,1
5016,30001,0,1,19,2,2,4
5020,31001,0,1,16,1,1,3
5020,31001,1,1,32,2,1,2
5024,32001,1,1,14,2,2,2
5024,32001,0,1,30,2,1,1
5025,33001,0,1,13,2,1,2
5025,33001,1,1,29,2,2,3
5032,34001,1,1,12,2,1,1
5032,34001,0,1,28,1,1,2
5036,35001,0,1,6,1,2,3
5036,35001,1,1,22,2,2,1
5044,36001,0,1,13,2,1,2
5044,36001,1,1,29,2,2,3
6006,37001,0,1,1,1,1,2
6006,37001,1,1,17,2,1,3
6013,38001,0,1,11,2,1,4
6013,38001,1,1,27,1,2,4
6017,39001,1,1,4,2,2,4
6017,39001,0,1,20,1,2,1
6018,40001,1,1,2,2,1,3
6018,40001,0,1,18,1,1,4
6039,41001,0,1,13,2,1,2
6039,41001,1,1,29,2,2,3
7008,42001,0,1,15,1,2,1
7008,42001,1,1,31,1,2,2
