"X1","survey_id","survey_version","country","choice","wtp","package","sos","info","own"
1,5016,3,"MEX",1,-2.07,3,0,1,1
2,5020,16,"MEX",1,-2.07,32,1,1,2
3,6039,13,"MEX",1,-2.07,29,1,0,3
4,5044,13,"MEX",1,-2.07,29,1,0,3
5,5032,12,"MEX",1,-2.07,12,1,1,1
6,6013,11,"MEX",1,-5.17,27,0,0,4
7,5031,15,"MEX",1,3.62,15,0,0,1
8,5037,7,"MEX",1,5.17,7,1,0,1
9,5001,7,"MEX",1,7.75,7,1,0,1
10,5006,9,"MEX",1,5.17,9,1,0,3
11,5021,14,"MEX",1,7.75,14,1,0,2
12,5038,16,"MEX",1,5.17,32,1,1,2
13,5040,7,"MEX",1,7.75,7,1,0,1
14,5042,5,"MEX",1,7.75,21,1,1,4
15,5045,4,"MEX",1,7.75,4,1,0,4
16,5046,10,"MEX",1,7.75,26,1,0,2
17,6001,1,"MEX",1,3.62,17,1,1,3
18,6002,3,"MEX",1,7.75,19,1,0,4
19,6014,5,"MEX",1,7.75,21,1,1,4
20,6028,11,"MEX",1,2.07,11,1,1,4
21,6030,15,"MEX",1,2.07,15,0,0,1
22,6031,8,"MEX",1,3.62,24,0,1,1
23,6032,5,"MEX",1,3.62,21,1,1,4
24,6038,11,"MEX",1,2.07,11,1,1,4
25,6041,15,"MEX",1,2.07,15,0,0,1
26,5002,6,"MEX",1,3.62,22,1,0,1
27,5004,5,"MEX",1,5.17,21,1,1,4
28,5005,8,"MEX",1,2.07,8,0,1,4
29,5007,4,"MEX",1,2.07,4,1,0,4
30,5008,2,"MEX",1,2.07,2,1,1,3
31,5010,11,"MEX",1,5.17,11,1,1,4
32,5012,13,"MEX",1,2.07,13,1,1,2
33,5026,1,"MEX",1,7.75,17,1,1,3
34,5028,5,"MEX",1,2.07,21,1,1,4
35,5030,11,"MEX",1,7.75,11,1,1,4
36,5033,12,"MEX",1,3.62,12,1,1,1
37,5034,8,"MEX",1,3.62,24,0,1,1
38,5047,2,"MEX",1,7.75,2,1,1,3
39,6003,9,"MEX",1,2.07,9,1,0,3
40,6004,10,"MEX",1,0,26,1,0,2
41,6005,12,"MEX",1,0,12,1,1,1
42,6007,3,"MEX",1,0,19,1,0,4
43,6010,12,"MEX",1,3.62,12,1,1,1
44,6011,1,"MEX",1,2.07,17,1,1,3
45,6012,6,"MEX",1,7.75,22,1,0,1
46,6016,4,"MEX",1,0,20,0,0,1
47,6023,14,"MEX",1,2.07,30,1,1,1
48,6024,5,"MEX",1,2.07,21,1,1,4
49,6037,6,"MEX",1,2.07,22,1,0,1
50,5011,15,"MEX",1,5.17,15,0,0,1
51,5013,14,"MEX",1,7.75,30,1,1,1
52,5015,10,"MEX",1,7.75,26,1,0,2
53,5017,6,"MEX",1,7.75,22,1,0,1
54,5018,7,"MEX",1,7.75,7,1,0,1
55,5019,2,"MEX",1,5.17,2,1,1,3
56,5023,3,"MEX",1,7.75,19,1,0,4
57,5029,9,"MEX",1,3.62,9,1,0,3
58,5035,1,"MEX",1,5.17,17,1,1,3
59,5041,15,"MEX",1,2.07,15,0,0,1
60,5043,13,"MEX",1,5.17,13,1,1,2
61,6009,10,"MEX",1,5.17,26,1,0,2
62,6015,14,"MEX",1,7.75,30,1,1,1
63,6019,8,"MEX",1,5.17,8,0,1,4
64,6020,4,"MEX",1,3.62,4,1,0,4
65,6021,5,"MEX",1,3.62,21,1,1,4
66,6022,8,"MEX",1,2.07,24,0,1,1
67,6025,16,"MEX",1,7.75,32,1,1,2
68,6026,1,"MEX",1,2.07,17,1,1,3
69,6029,9,"MEX",1,3.62,9,1,0,3
70,6033,1,"MEX",1,0,17,1,1,3
71,6034,2,"MEX",1,3.62,2,1,1,3
