"STR","RES","ASC","sos","info","own"
1001,1,1,"1","1","1"
1001,0,1,"2","2","4"
2001,0,1,"2","2","2"
2001,1,1,"2","1","1"
3001,0,1,"1","2","2"
3001,1,1,"2","2","2"
4001,1,1,"1","2","4"
4001,0,1,"2","1","4"
5001,1,1,"2","1","4"
5001,0,1,"1","2","4"
6001,0,1,"1","1","2"
6001,1,1,"2","1","3"
7001,1,1,"2","1","3"
7001,0,1,"1","1","4"
8001,1,1,"2","1","4"
8001,0,1,"1","2","4"
9001,0,1,"1","2","3"
9001,1,1,"2","2","1"
10001,0,1,"1","1","3"
10001,1,1,"2","1","2"
11001,1,1,"2","2","4"
11001,0,1,"1","2","1"
12001,0,1,"1","2","2"
12001,1,1,"2","2","2"
13001,0,1,"1","1","1"
13001,1,1,"2","2","4"
14001,0,1,"1","2","3"
14001,1,1,"2","2","1"
15001,1,1,"2","2","1"
15001,0,1,"1","1","3"
16001,0,1,"1","1","4"
16001,1,1,"1","1","1"
17001,1,1,"2","2","3"
17001,0,1,"1","2","3"
18001,1,1,"2","2","1"
18001,0,1,"1","1","3"
19001,0,1,"1","2","2"
19001,1,1,"2","2","2"
20001,1,1,"2","2","1"
20001,0,1,"1","1","3"
21001,0,1,"1","1","4"
21001,1,1,"1","1","1"
22001,1,1,"2","2","3"
22001,0,1,"1","2","3"
23001,0,1,"2","2","4"
23001,1,1,"1","2","1"
24001,1,1,"1","2","4"
24001,0,1,"2","1","4"
25001,1,1,"1","2","2"
25001,0,1,"2","2","2"
26001,0,1,"2","2","1"
26001,1,1,"1","1","3"
27001,1,1,"2","2","1"
27001,0,1,"1","1","3"
28001,0,1,"2","1","4"
28001,1,1,"1","2","4"
29001,0,1,"1","1","4"
29001,1,1,"1","1","1"
30001,1,1,"2","2","3"
30001,0,1,"1","2","3"
31001,0,1,"2","1","2"
31001,1,1,"2","2","3"
32001,0,1,"1","2","2"
32001,1,1,"2","2","2"
33001,0,1,"1","2","2"
33001,1,1,"2","2","2"
34001,1,1,"2","1","4"
34001,0,1,"1","2","4"
35001,1,1,"2","1","4"
35001,0,1,"1","2","4"
36001,0,1,"2","2","2"
36001,1,1,"2","1","1"
37001,0,1,"2","2","2"
37001,1,1,"2","1","1"
38001,1,1,"2","2","3"
38001,0,1,"1","2","3"
39001,1,1,"2","1","3"
39001,0,1,"1","1","4"
40001,0,1,"1","1","1"
40001,1,1,"2","2","4"
41001,1,1,"2","1","1"
41001,0,1,"1","1","2"
42001,1,1,"1","2","1"
42001,0,1,"1","2","2"
43001,0,1,"2","1","2"
43001,1,1,"2","2","3"
44001,0,1,"1","1","2"
44001,1,1,"2","1","3"
45001,0,1,"1","1","3"
45001,1,1,"2","1","2"
46001,1,1,"2","1","1"
46001,0,1,"1","1","2"
47001,1,1,"1","2","1"
47001,0,1,"1","2","2"
48001,1,1,"1","2","1"
48001,0,1,"1","2","2"
49001,1,1,"2","1","1"
49001,0,1,"1","1","2"
50001,1,1,"2","1","1"
50001,0,1,"1","1","2"
51001,1,1,"1","1","3"
51001,0,1,"2","1","2"
52001,0,1,"1","1","2"
52001,1,1,"2","1","3"
53001,0,1,"2","1","2"
53001,1,1,"2","2","3"
54001,1,1,"2","1","1"
54001,0,1,"1","1","2"
55001,0,1,"1","1","2"
55001,1,1,"2","1","3"
56001,1,1,"2","1","3"
56001,0,1,"1","1","4"
57001,0,1,"1","1","1"
57001,1,1,"2","2","4"
58001,0,1,"1","1","1"
58001,1,1,"2","2","4"
59001,0,1,"1","2","4"
59001,1,1,"2","1","4"
60001,0,1,"1","2","3"
60001,1,1,"2","2","1"
61001,1,1,"2","2","1"
61001,0,1,"1","1","3"
62001,0,1,"1","1","4"
62001,1,1,"1","1","1"
63001,1,1,"2","2","3"
63001,0,1,"1","2","3"
64001,0,1,"1","2","2"
64001,1,1,"2","2","2"
65001,1,1,"2","1","4"
65001,0,1,"1","2","4"
66001,1,1,"2","1","1"
66001,0,1,"1","1","2"
67001,0,1,"2","1","2"
67001,1,1,"2","2","3"
68001,0,1,"2","2","2"
68001,1,1,"2","1","1"
69001,0,1,"2","2","4"
69001,1,1,"1","2","1"
70001,0,1,"1","2","3"
70001,1,1,"2","2","1"
71001,1,1,"2","2","4"
71001,0,1,"1","2","1"
72001,0,1,"2","2","2"
72001,1,1,"2","1","1"
73001,1,1,"2","2","4"
73001,0,1,"1","2","1"
74001,0,1,"1","1","4"
74001,1,1,"1","1","1"
75001,0,1,"1","2","3"
75001,1,1,"2","2","1"
76001,1,1,"2","1","3"
76001,0,1,"1","1","4"
77001,0,1,"1","2","4"
77001,1,1,"2","1","4"
78001,1,1,"1","2","1"
78001,0,1,"1","2","2"
79001,0,1,"1","1","3"
79001,1,1,"2","1","2"
80001,1,1,"1","1","3"
80001,0,1,"2","1","2"
81001,0,1,"2","1","1"
81001,1,1,"1","1","2"
82001,0,1,"1","1","2"
82001,1,1,"2","1","3"
83001,1,1,"2","1","3"
83001,0,1,"1","1","4"
84001,0,1,"1","1","1"
84001,1,1,"2","2","4"
85001,1,1,"2","2","4"
85001,0,1,"1","2","1"
86001,0,1,"1","2","4"
86001,1,1,"2","1","4"
87001,0,1,"1","2","3"
87001,1,1,"2","2","1"
88001,1,1,"2","2","1"
88001,0,1,"1","1","3"
89001,0,1,"1","1","4"
89001,1,1,"1","1","1"
90001,1,1,"2","2","3"
90001,0,1,"1","2","3"
91001,0,1,"1","2","2"
91001,1,1,"2","2","2"
92001,1,1,"2","1","4"
92001,0,1,"1","2","4"
93001,1,1,"2","1","1"
93001,0,1,"1","1","2"
94001,0,1,"2","1","2"
