"survey_id","country","package","wtp","sos","info","own","own.fisher","own.industry","own.gov","own.public","STR","RES","ASC","noalt"
1001,"IND",0,0,"0","0","0","0","0","0","0",1002,1,0,3
1001,NA,3,0,"0","0","1","1","0","0","0",1001,0,1,3
1001,NA,4,0,"1","1","4","0","0","0","1",1001,0,1,3
1002,"IND",12,10,"1","0","1","1","0","0","0",2001,1,1,3
1002,NA,14,0,"1","1","2","0","1","0","0",2001,0,1,3
1002,NA,0,0,"0","0","0","0","0","0","0",2002,0,0,3
1003,"IND",14,0,"1","1","2","0","1","0","0",3001,1,1,3
1003,NA,10,0,"0","1","2","0","1","0","0",3001,0,1,3
1003,NA,0,0,"0","0","0","0","0","0","0",3002,0,0,3
1004,"IND",5,10,"0","1","4","0","0","0","1",4001,1,1,3
1004,NA,11,0,"1","0","4","0","0","0","1",4001,0,1,3
1004,NA,0,0,"0","0","0","0","0","0","0",4002,0,0,3
1005,"IND",11,10,"1","0","4","0","0","0","1",5001,1,1,3
1005,NA,5,0,"0","1","4","0","0","0","1",5001,0,1,3
1005,NA,0,0,"0","0","0","0","0","0","0",5002,0,0,3
1006,"IND",0,0,"0","0","0","0","0","0","0",6002,1,0,3
1006,NA,1,0,"0","0","2","0","1","0","0",6001,0,1,3
1006,NA,2,0,"1","0","3","0","0","1","0",6001,0,1,3
1007,"IND",2,20,"1","0","3","0","0","1","0",7001,1,1,3
1007,NA,8,0,"0","0","4","0","0","0","1",7001,0,1,3
1007,NA,0,0,"0","0","0","0","0","0","0",7002,0,0,3
1008,"IND",0,0,"0","0","0","0","0","0","0",8002,1,0,3
1008,NA,11,0,"1","0","4","0","0","0","1",8001,0,1,3
1008,NA,5,0,"0","1","4","0","0","0","1",8001,0,1,3
1009,"IND",7,10,"1","1","1","1","0","0","0",9001,1,1,3
1009,NA,6,0,"0","1","3","0","0","1","0",9001,0,1,3
1009,NA,0,0,"0","0","0","0","0","0","0",9002,0,0,3
1010,"IND",13,0,"1","0","2","0","1","0","0",10001,1,1,3
1010,NA,16,0,"0","0","3","0","0","1","0",10001,0,1,3
1010,NA,0,0,"0","0","0","0","0","0","0",10002,0,0,3
1011,"IND",0,0,"0","0","0","0","0","0","0",11002,1,0,3
1011,NA,4,0,"1","1","4","0","0","0","1",11001,0,1,3
