"survey_id","STR","RES","ASC","package","sos","info","own"
1002,1001,0,1,14,"2","2","2"
1002,1001,1,1,12,"2","1","1"
1003,2001,0,1,10,"1","2","2"
1003,2001,1,1,14,"2","2","2"
1004,3001,1,1,5,"1","2","4"
1004,3001,0,1,11,"2","1","4"
1005,4001,1,1,11,"2","1","4"
1005,4001,0,1,5,"1","2","4"
1007,5001,1,1,2,"2","1","3"
1007,5001,0,1,8,"1","1","4"
1009,6001,0,1,6,"1","2","3"
1009,6001,1,1,7,"2","2","1"
1010,7001,0,1,16,"1","1","3"
1010,7001,1,1,13,"2","1","2"
1012,8001,0,1,10,"1","2","2"
1012,8001,1,1,14,"2","2","2"
1013,9001,0,1,3,"1","1","1"
1013,9001,1,1,4,"2","2","4"
1014,10001,0,1,6,"1","2","3"
1014,10001,1,1,7,"2","2","1"
1015,11001,1,1,7,"2","2","1"
1015,11001,0,1,16,"1","1","3"
1016,12001,0,1,8,"1","1","4"
1016,12001,1,1,3,"1","1","1"
1017,13001,1,1,9,"2","2","3"
1017,13001,0,1,6,"1","2","3"
1018,14001,1,1,7,"2","2","1"
1018,14001,0,1,16,"1","1","3"
3001,15001,0,1,4,"2","2","4"
3001,15001,1,1,15,"1","2","1"
3005,16001,1,1,7,"2","2","1"
3005,16001,0,1,16,"1","1","3"
3007,17001,0,1,8,"1","1","4"
3007,17001,1,1,3,"1","1","1"
3008,18001,1,1,9,"2","2","3"
3008,18001,0,1,6,"1","2","3"
3009,19001,0,1,13,"2","1","2"
3009,19001,1,1,9,"2","2","3"
3010,20001,0,1,10,"1","2","2"
3010,20001,1,1,14,"2","2","2"
3011,21001,0,1,10,"1","2","2"
3011,21001,1,1,14,"2","2","2"
3012,22001,1,1,11,"2","1","4"
3012,22001,0,1,5,"1","2","4"
3013,23001,1,1,11,"2","1","4"
3013,23001,0,1,5,"1","2","4"
3015,24001,0,1,14,"2","2","2"
3015,24001,1,1,12,"2","1","1"
3016,25001,1,1,9,"2","2","3"
3016,25001,0,1,6,"1","2","3"
3017,26001,1,1,2,"2","1","3"
3017,26001,0,1,8,"1","1","4"
3018,27001,0,1,3,"1","1","1"
3018,27001,1,1,4,"2","2","4"
3019,28001,1,1,12,"2","1","1"
3019,28001,0,1,1,"1","1","2"
3020,29001,1,1,15,"1","2","1"
3020,29001,0,1,10,"1","2","2"
3022,30001,0,1,1,"1","1","2"
3022,30001,1,1,2,"2","1","3"
3023,31001,0,1,16,"1","1","3"
3023,31001,1,1,13,"2","1","2"
3026,32001,1,1,15,"1","2","1"
3026,32001,0,1,10,"1","2","2"
3027,33001,1,1,12,"2","1","1"
3027,33001,0,1,1,"1","1","2"
3029,34001,1,1,16,"1","1","3"
3029,34001,0,1,13,"2","1","2"
3030,35001,0,1,1,"1","1","2"
3030,35001,1,1,2,"2","1","3"
3031,36001,0,1,13,"2","1","2"
3031,36001,1,1,9,"2","2","3"
3032,37001,1,1,12,"2","1","1"
3032,37001,0,1,1,"1","1","2"
3033,38001,0,1,1,"1","1","2"
3033,38001,1,1,2,"2","1","3"
3036,39001,0,1,3,"1","1","1"
3036,39001,1,1,4,"2","2","4"
3037,40001,0,1,5,"1","2","4"
3037,40001,1,1,11,"2","1","4"
3041,41001,1,1,9,"2","2","3"
3041,41001,0,1,6,"1","2","3"
3042,42001,0,1,10,"1","2","2"
3042,42001,1,1,14,"2","2","2"
3043,43001,1,1,11,"2","1","4"
3043,43001,0,1,5,"1","2","4"
3044,44001,1,1,12,"2","1","1"
3044,44001,0,1,1,"1","1","2"
3045,45001,0,1,13,"2","1","2"
3045,45001,1,1,9,"2","2","3"
3048,46001,0,1,6,"1","2","3"
3048,46001,1,1,7,"2","2","1"
3049,47001,1,1,4,"2","2","4"
3049,47001,0,1,15,"1","2","1"
3050,48001,0,1,14,"2","2","2"
3050,48001,1,1,12,"2","1","1"
3052,49001,0,1,8,"1","1","4"
3052,49001,1,1,3,"1","1","1"
3053,50001,0,1,6,"1","2","3"
3053,50001,1,1,7,"2","2","1"
3054,51001,1,1,2,"2","1","3"
3054,51001,0,1,8,"1","1","4"
