"package","info","sos","own","probs","lin_pred_probs"
1,"1","0","2",0.0182662101815191,0.390528309275071
2,"1","1","3",0.978813843012149,0.972078990701806
3,"1","0","1",0.506849575666868,0.745101118411114
4,"0","1","4",0.787519817040096,0.920916148089011
5,"0","0","4",0.0892247638118237,0.5
6,"0","0","3",0.0798488769564129,0.773279068321995
7,"0","1","1",0.923683659567119,0.974894346810825
8,"1","0","4",0.135557106036834,0.467116842483449
9,"0","1","3",0.88001671440333,0.975440259966076
10,"0","0","2",0.133312291769927,0.422292549487664
11,"1","1","4",0.910775236188176,0.910775236188176
12,"1","1","1",0.88375662740906,0.971460549344776
13,"1","1","2",0.393293150202316,0.881818871819145
14,"0","1","2",0.532753971314761,0.894870961876327
15,"0","0","1",0.521411233927932,0.769302294532101
16,"1","0","3",0.17877720027876,0.749359154178561
