"info","own","sos","level_probs1","level_se"
"Anon","Government","Yes",0.871917894163902,0.640293771772594
"Anon","Fishers","Yes",0.869379027687545,0.500363900419051
"Non-Anon","Government","Yes",0.856473168338138,0.635458967155159
"Non-Anon","Fishers","Yes",0.85367952983239,0.447791702345145
"Anon","Public Access","Yes",0.666212390497707,0.251139345141928
"Non-Anon","Public Access","Yes",0.636309274438626,0.283216970773668
"Anon","Industry","Yes",0.593326540383418,0.399233849223108
"Non-Anon","Industry","Yes",0.561194575985528,0.387456719711101
"Anon","Government","No",0.368923792328427,0.291103855214099
"Anon","Fishers","No",0.363690725561374,0.184231007035395
"Non-Anon","Government","No",0.338819515048328,0.293663005859281
"Non-Anon","Fishers","No",0.333787609502293,0.143853188751285
"Anon","Public Access","No",0.14632047016761,0.12202911165136
"Non-Anon","Public Access","No",0.130620972312455,0.130786358100882
"Anon","Industry","No",0.111340019664445,0.144131841257759
"Non-Anon","Industry","No",0.0989586835413901,0.140076999658723
