"sos","info","own","fishtech","rank_one","education","country","predict_wtp","simulation"
0,1,"2",1,"weather","formal","IND",1.39036707544994,1
1,1,"3",1,"weather","formal","IND",1.65344169179171,1
0,1,"1",1,"weather","formal","IND",1.42598082067295,1
1,0,"4",1,"weather","formal","IND",1.9516165051085,1
0,0,"4",1,"weather","formal","IND",0.661889613385934,1
0,0,"3",1,"weather","formal","IND",0.704094387010013,1
1,0,"1",1,"weather","formal","IND",3.25671386112814,1
0,1,"4",1,"weather","formal","IND",0.369593365376356,1
1,0,"3",1,"weather","formal","IND",2.00158418352762,1
0,0,"2",1,"weather","formal","IND",1.72706605875876,1
1,1,"4",1,"weather","formal","IND",1.6055569561639,1
1,1,"1",1,"weather","formal","IND",2.85625028110417,1
1,1,"2",1,"weather","formal","IND",2.81408594717233,1
1,0,"2",1,"weather","formal","IND",3.21271541671699,1
0,0,"1",1,"weather","formal","IND",1.76422896976312,1
0,1,"3",1,"weather","formal","IND",0.41003879912793,1
0,1,"2",1,"weather","formal","MEX",0.872380233743754,1
1,1,"3",1,"weather","formal","MEX",1.11784984656003,1
0,1,"1",1,"weather","formal","MEX",0.905610700340621,1
1,0,"4",1,"weather","formal","MEX",1.39607074447193,1
0,0,"4",1,"weather","formal","MEX",0.192652622449162,1
0,0,"3",1,"weather","formal","MEX",0.232033044568801,1
1,0,"1",1,"weather","formal","MEX",2.61383073638802,1
0,1,"4",1,"weather","formal","MEX",-0.0800831048676365,1
1,0,"3",1,"weather","formal","MEX",1.44269457631641,1
0,0,"2",1,"weather","formal","MEX",1.18654725684064,1
1,1,"4",1,"weather","formal","MEX",1.0731695665778,1
1,1,"1",1,"weather","formal","MEX",2.24016625555573,1
1,1,"2",1,"weather","formal","MEX",2.2008235668964,1
1,0,"2",1,"weather","formal","MEX",2.57277667627264,1
0,0,"1",1,"weather","formal","MEX",1.22122321874916,1
0,1,"3",1,"weather","formal","MEX",-0.0423442872605166,1
0,1,"2",1,"corruption","higher","IND",5.87652374463633,2
1,1,"3",1,"corruption","higher","IND",6.29207096765053,2
0,1,"1",1,"corruption","higher","IND",5.93277848002034,2
1,0,"4",1,"corruption","higher","IND",6.76306173585751,2
0,0,"4",1,"corruption","higher","IND",4.72583581206948,2
0,0,"3",1,"corruption","higher","IND",4.79250159959892,2
1,0,"1",1,"corruption","higher","IND",8.82456652715433,2
0,1,"4",1,"corruption","higher","IND",4.26413070404016,2
1,0,"3",1,"corruption","higher","IND",6.84198964724732,2
0,0,"2",1,"corruption","higher","IND",6.40836649499852,2
1,1,"4",1,"corruption","higher","IND",6.21643322961405,2
1,1,"1",1,"corruption","higher","IND",8.19200253861242,2
1,1,"2",1,"corruption","higher","IND",8.12540062878445,2
1,0,"2",1,"corruption","higher","IND",8.75506749434668,2
0,0,"1",1,"corruption","higher","IND",6.46706826061061,2
0,1,"3",1,"corruption","higher","IND",4.32801747469399,2
0,1,"2",1,"corruption","higher","MEX",5.05832244257964,2
1,1,"3",1,"corruption","higher","MEX",5.446061166135,2
0,1,"1",1,"corruption","higher","MEX",5.11081260033722,2
1,0,"4",1,"corruption","higher","MEX",5.88553314225909,2
0,0,"4",1,"corruption","higher","MEX",3.98463876603447,2
0,0,"3",1,"corruption","higher","MEX",4.04684326634127,2
1,0,"1",1,"corruption","higher","MEX",7.80908163954592,2
0,1,"4",1,"corruption","higher","MEX",3.55383105193705,2
1,0,"3",1,"corruption","higher","MEX",5.95917918275767,2
0,0,"2",1,"corruption","higher","MEX",5.55457417460134,2
1,1,"4",1,"corruption","higher","MEX",5.37548511996112,2
1,1,"1",1,"corruption","higher","MEX",7.21884895382312,2
1,1,"2",1,"corruption","higher","MEX",7.15670405650982,2
1,0,"2",1,"corruption","higher","MEX",7.74423349527556,2
0,0,"1",1,"corruption","higher","MEX",5.6093476068572,2
0,1,"3",1,"corruption","higher","MEX",3.61344250770786,2
