"sos","info","own","fishtech","rank_one","education","predict_wtp","simulation"
0,1,"2",1,"weather","formal",1.15654022535965,1
1,1,"3",1,"weather","formal",1.51237070283469,1
0,1,"1",1,"weather","formal",1.25218834103063,1
1,0,"4",1,"weather","formal",1.80321585389724,1
0,0,"4",1,"weather","formal",0.547992892082802,1
0,0,"3",1,"weather","formal",0.619670119018338,1
1,0,"1",1,"weather","formal",3.06477026260155,1
0,1,"4",1,"weather","formal",0.233515133939809,1
1,0,"3",1,"weather","formal",1.88793613589187,1
0,0,"2",1,"weather","formal",1.51510854235365,1
1,1,"4",1,"weather","formal",1.43151279715267,1
1,1,"1",1,"weather","formal",2.63555325818676,1
1,1,"2",1,"weather","formal",2.52250012153028,1
1,0,"2",1,"weather","formal",2.94631686540894,1
0,0,"1",1,"weather","formal",1.61532552501663,1
0,1,"3",1,"weather","formal",0.301924614156953,1
0,1,"2",1,"corruption","higher",5.01007666927294,2
1,1,"3",1,"corruption","higher",5.54857528301837,2
0,1,"1",1,"corruption","higher",5.15482643343501,2
1,0,"4",1,"corruption","higher",5.98872788538434,2
0,0,"4",1,"corruption","higher",4.08912718317659,2
0,0,"3",1,"corruption","higher",4.19760043036945,2
1,0,"1",1,"corruption","higher",7.89791032830577,2
0,1,"4",1,"corruption","higher",3.61321000481839,2
1,0,"3",1,"corruption","higher",6.11693993381245,2
0,0,"2",1,"corruption","higher",5.55271861215666,2
1,1,"4",1,"corruption","higher",5.42620838957771,2
1,1,"1",1,"corruption","higher",7.24835168590551,2
1,1,"2",1,"corruption","higher",7.0772619079835,2
1,0,"2",1,"corruption","higher",7.7186480272396,2
0,0,"1",1,"corruption","higher",5.70438270405996,2
0,1,"3",1,"corruption","higher",3.71673798399932,2
0,1,"2",0,"weather","formal",-0.0139514238911929,3
1,1,"3",0,"weather","formal",0.286394557407247,3
0,1,"1",0,"weather","formal",0.06678232147092,3
1,0,"4",0,"weather","formal",0.531888346814036,3
0,0,"4",0,"weather","formal",-0.527608228323868,3
0,0,"3",0,"weather","formal",-0.467107601133455,3
1,0,"1",0,"weather","formal",1.59672910900042,3
0,1,"4",0,"weather","formal",-0.793049602363043,3
1,0,"3",0,"weather","formal",0.60339823099292,3
0,0,"2",0,"weather","formal",0.288705486765499,3
1,1,"4",0,"weather","formal",0.218144790832638,3
1,1,"1",0,"weather","formal",1.23443973093561,3
1,1,"2",0,"weather","formal",1.13901492216459,3
1,0,"2",0,"weather","formal",1.49674610003952,3
0,0,"1",0,"weather","formal",0.373295677617815,3
0,1,"3",0,"weather","formal",-0.735307183524355,3
0,1,"2",1,"pollution","formal",1.84741161158195,4
1,1,"3",1,"pollution","formal",2.23599127681234,4
0,1,"1",1,"pollution","formal",1.95186279021927,4
1,0,"4",1,"pollution","formal",2.55360463088961,4
0,0,"4",1,"pollution","formal",1.18285606052423,4
0,0,"3",1,"pollution","formal",1.26113016746665,4
1,0,"1",1,"pollution","formal",3.93126736872694,4
0,1,"4",1,"pollution","formal",0.839435050472672,4
1,0,"3",1,"pollution","formal",2.64612222255095,4
0,0,"2",1,"pollution","formal",2.23898109592867,4
1,1,"4",1,"pollution","formal",2.14769153884693,4
1,1,"1",1,"pollution","formal",3.46254697953998,4
1,1,"2",1,"pollution","formal",3.3390888926809,4
1,0,"2",1,"pollution","formal",3.80191200334868,4
0,0,"1",1,"pollution","formal",2.34842164146573,4
0,1,"3",1,"pollution","formal",0.914140660599132,4
