"info","own","sos","level_probs1","level_se"
"Non-Anon","Fishers","Yes",0.749885238624746,0.386340733177431
"Anon","Fishers","Yes",0.723827988715794,0.407648844070666
"Non-Anon","Government","Yes",0.720090735532711,0.549336582924199
"Anon","Government","Yes",0.692203532014873,0.473377154583075
"Non-Anon","Public Access","Yes",0.502758505694102,0.400331608292121
"Anon","Public Access","Yes",0.469180045410565,0.370726077384745
"Non-Anon","Industry","Yes",0.276172011284206,0.207967043715535
"Anon","Industry","Yes",0.250114761375254,0.173543291845511
"Non-Anon","Fishers","No",0.108716417039885,0.169531152090589
"Anon","Fishers","No",0.0963556108201532,0.181632628202677
"Non-Anon","Government","No",0.0947466442251944,0.18612160871061
"Anon","Government","No",0.0838247872420495,0.152376788065682
"Non-Anon","Public Access","No",0.0395101419780376,0.154961422665129
"Anon","Public Access","No",0.0347114835161598,0.148155474143312
"Non-Anon","Industry","No",0.0152854555408583,0.0701531036789057
"Anon","Industry","No",0.0133879681247565,0.0678153351758109
