"package","sos","info","own","rank_one","fishtech","education","int_15_wtp"
1,0,1,"2","weather",0,"no_formal",-0.791522605933658
2,1,1,"3","weather",0,"no_formal",-0.986555843955454
3,0,1,"1","weather",0,"no_formal",-1.04624913570215
4,1,0,"4","weather",0,"no_formal",-0.197974339437882
5,0,0,"4","weather",0,"no_formal",-1.46636454868936
6,0,0,"3","weather",0,"no_formal",-1.84090692005697
7,1,0,"1","weather",0,"no_formal",0.636180206699278
8,0,1,"4","weather",0,"no_formal",-1.88040368183931
9,1,0,"3","weather",0,"no_formal",-0.572516710805501
10,0,0,"2","weather",0,"no_formal",-0.377483472783705
11,1,1,"4","weather",0,"no_formal",-0.612013472587835
12,1,1,"1","weather",0,"no_formal",0.222141073549325
13,1,1,"2","weather",0,"no_formal",0.476867603317816
14,1,0,"2","weather",0,"no_formal",0.890906736467769
15,0,0,"1","weather",0,"no_formal",-0.632210002552196
16,0,1,"3","weather",0,"no_formal",-2.25494605320693
