"Beta","wtp_lm_14$coefficients","on","off"
"(Intercept)",1.76642909890847,4.84992651080013,-0.829057681638598
"sos",0.169028630873041,0.184154041802664,-0.15551527529503
"info",-0.0386907426106565,-0.0379518163443993,0.0394489766616362
"own1",0.147022430308046,0.15837994555747,-0.136725386316361
"own2",0.145397579931705,0.156499279781,-0.135321554035585
"own3",0.00904607536018235,0.00908711475503687,-0.00900528271758061
"fishtech",0.227746207690908,0.255766581086329,-0.203673664308754
"factor(country)MEX",-0.087742350137041,-0.0840031472139887,0.091706807680062
"rank_oneiuu",-0.137983699526007,-0.128887108816903,0.147956837881088
"rank_onepollution",-0.186089958956889,-0.169801092205163,0.204530613821435
"rank_oneweather",-0.31561005355229,-0.270656200252663,0.371095497550572
"educationformal",0.282899976372665,0.326972426583457,-0.246404838588327
"educationhigher",0.420364532556661,0.522516461290089,-0.34319265149182
