"Beta","wtp_lm_16$coefficients","on","off"
"(Intercept)",1.75791666235976,4.80034072989082,-0.827596335014129
"sos",0.167967831331527,0.182898557764217,-0.15461897097069
"info",-0.0437015440897291,-0.0427603913374659,0.0446705202652564
"own1",0.144388751233262,0.155333158425073,-0.134448801449462
"own2",0.132170459415345,0.141302848503382,-0.123808372763352
"own3",0.0133661622361249,0.0134558887030829,-0.013277231750365
"fishtech",0.18673670300919,0.205309888800305,-0.170337844821516
"rank_oneiuu",-0.121420156789255,-0.114338235395157,0.129099211419803
"rank_onepollution",-0.184605347055353,-0.168567653663788,0.202743680116125
"rank_oneweather",-0.26521497308629,-0.232958960928693,0.303711208478163
"log(gdp_prop)",-0.00438663449702339,-0.00437702726885136,0.00439626986191821
"educationformal",0.257786937076239,0.294063072387898,-0.227240138956497
"educationhigher",0.394712757506947,0.483957873936373,-0.326126423422397
